Symbol	avExpPos2Naive	avExpNeg2Naive	avExpTex2Naive	avExpAcute2Naive	avExpTex2Acute	avExpPos2Neg
AKT1	0.427969133186167	0.897377824756227	-0.218103160478171	0.206390466364757	-0.333954661569788	-0.440279335171182
AKT2	0.0585524372988409	0.117379478171734	0	0	0	0.0974798225800867
AKT3	-1.85812686547499	-1.19421612365836	0	0	0	0.168408890924438
BACH2	-2.48529631138684	-3.65808167009627	0	0	0	2.81300918599299
BATF	3.28467679139694	2.53272464654961	0.946215026353884	0.411700374303641	0.592066715288853	0.502040203682024
BCL6	0.569515578533223	-1.76952965271256	0.496252262420011	-0.220970225501049	0.74232072879921	3.65632404984729
BTLA	0.213194681640616	-1.81922455663807	0	0	0	2.35267569041317
CA	0	0	0	0	0	0
CD160	0	0	2.05605280326439	0.785574589934169	1.31578403773102	0
CD244	2.91726580423928	7.09567413315586	3.486702583599	0.104138218545142	3.40522293117746	-2.5804200992665
CD247	-0.443857541724407	-0.138489326808954	-0.726721559651784	-0.0609184883417717	-0.637241635041537	-0.211339434303646
CD274	-0.34348851900809	-0.495209728019721	0	0	0	0.724453574459756
CD28	0.692839482371367	0.40761735858828	0.513819962706963	0.671517156488787	0.35185008689575	1.03971924985796
CD3D	0	0	-0.516347555942135	0.336387169706889	-0.605308323174693	0
CD3E	0	0	0.364545718023471	0.324237862411233	0.047688920311389	0
CD3G	-0.260137350027044	0.481278635759429	0.018949897404142	-0.191473098668825	0.222180729641659	-0.474624474435173
CD8A	0	0	-0.742635098311238	-0.309087834691872	-0.318744689054768	0
CTLA4	4.84723310623369	4.35152736668862	2.82881141274737	1.24728564755084	1.63703252818137	-0.082480995222974
DNMT3A	-1.29195160240235	-0.526401176826513	0.21174843641945	0.0970759582929944	0.141114406805747	0.266996883787277
DNMT3B	0.234562023198722	0.632216399061701	0	0	0	-0.563131802920638
DNMT3L	2.0416109697459	0.0287007577919067	0	0	0	1.36583166363648
